a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
6.413262750294921,0.8805544280942652,0.9633433433542163,0.40270319964573165,0.852933846566277,42.005720622832676,5.426530801255058,5.486911304291972,1.6424274071008678,5.040160322279148,0.9213362299409258,0.7862980644365704,0.6569871050839591,0.7285743618660284,0.8333339770112221
1.7690398338914384,0.9455592479354965,0.9908734917932143,0.17311352964488472,0.8924640159060393,76.15855488752467,7.618804968945509,1.3102475806954526,7.958750911753491,5.947928512608165,0.905434441119497,0.9374525050841139,0.6627881751957294,0.44992781956038963,0.7814683346348785
2.7331840123344193,0.9055040984288801,0.839535392528874,0.1803207349683521,0.42411185289371445,94.26892790575117,3.513257946191128,6.707775165829398,6.626067327207295,8.497703040310514,0.3929366304861046,0.41330481633443095,0.8869021898885686,0.6908678994553914,0.1283881787815305
3.411850366242412,0.4915908797842917,0.4038985610873823,0.8765902396269701,0.7513974643778808,68.72300681323483,8.288532972822107,7.850135636859446,4.0342151861545785,4.0075844786730315,0.8724459192666272,0.2342593137156923,0.3431979470503892,0.8532852350556939,0.36958939919661304
9.284083730487033,0.8167972455422926,0.6885801883528206,0.7698846997039267,0.8092591473020734,26.912661384370015,8.373040145192657,5.9904050349020865,1.7187716278919358,4.003460297630821,0.7778618466333128,0.5117793091764489,0.874323783348952,0.9707638229951333,0.192935346588419
7.85894254831218,0.7591817677664038,0.8265822921810049,0.8685997645661857,0.9090825725700993,79.84732764230567,1.5347841220947718,9.416016765161073,9.664504225379428,6.5763823931193945,0.43047794854973265,0.2911130556562728,0.857929930475862,0.7368316582059087,0.3543789425592586
6.765746546665154,0.5719993992279776,0.7407700513899453,0.30565985277195007,0.7190692076025218,46.02886067408605,3.692360007506248,6.928642283935883,1.309360247133239,9.830353792202656,0.17210503171382702,0.8706143373856029,0.887155346010278,0.6822037435102456,0.2837494109633858
4.66596370345142,0.2084984163789369,0.32223932953486534,0.5207552046661695,0.7509105569586665,18.801697909302504,4.534895929758074,4.037646680490175,6.3628395173731995,3.1988877749527576,0.2801097287580333,0.5778185405990802,0.8742650450143546,0.6336494663266167,0.8616000905095815
6.781683162888432,0.8044206848085953,0.28815490168891855,0.706959643655173,0.528633018461351,20.70255994955721,8.976263319250673,1.662137608209115,8.692204542153176,3.1704718327509647,0.11773082502772919,0.19949915038083604,0.25339734026105964,0.4636351677953021,0.5153690009754514
6.331591599086754,0.8156141167146368,0.2521632052849696,0.6180243826045043,0.11698626473314239,22.466728559672283,4.975501382958499,5.444080931860784,8.519623756510768,8.486876922115643,0.8602517492686228,0.5673832469398089,0.3392008270939965,0.5516961682818858,0.4707431497332645
7.379901384448689,0.7992800710461946,0.527375761824598,0.5993514478372324,0.4890395948081603,80.21890130530099,1.935925122876852,1.44606634260579,9.887282483470909,7.184223051884387,0.48723254961628926,0.8376133530262849,0.16408003296814577,0.7780583921117208,0.4358056531697875
2.8456618719902087,0.72412205360206,0.5853741809085007,0.9514661607240051,0.36553513702280327,29.969143196346117,7.33933293358693,9.203921194969885,2.576140085480165,4.610277958438699,0.8595017415223978,0.27590414510656236,0.18982180115089034,0.5554225323376681,0.3836951592027813
8.856552518633304,0.6447750756773155,0.5476128285743966,0.4593385804875839,0.6231802572165179,44.60964438626331,7.1488942441304815,8.111751433162354,1.8223370859535934,1.6439049345232137,0.44560445820490924,0.5138691547689492,0.6151964143569852,0.6203750085334738,0.32083645781245845
2.8906551178786026,0.2668106568988623,0.3645215549891062,0.8535894268536315,0.651625878529046,54.481243187171735,4.824648769849647,1.4080152926810026,6.990918149373186,7.687365498085459,0.8414519838607414,0.1101895633567091,0.9152354351792856,0.9507234337804441,0.4615248150162099
6.238667274548932,0.43694011435632085,0.40385667798503777,0.7634698810327868,0.9049314136371802,19.047175099912835,6.256113374937544,3.1334201884184956,9.063905125484414,9.479149636211172,0.45130428953828805,0.38241702988755577,0.7797607529230496,0.4914384888059239,0.5222754766269752
4.647886596847732,0.141942283126299,0.6709052593667094,0.28519149751541867,0.8319403180783875,36.39007670087156,4.2717589466560035,9.239452100715377,9.25206056163439,9.690596390043174,0.9659850226668877,0.551522968247789,0.17014609135546482,0.9257285067742425,0.25271672295950653
5.106520042412482,0.6920591908741518,0.5694068117496912,0.8020856334806851,0.5067239187865016,60.37220723667503,9.229013584730799,6.707263599696715,7.020254407387654,8.905034033740822,0.5593994130673128,0.9252648449744478,0.9367726275991192,0.6487075765436596,0.8559226123330295
